AssetName,Abundance,Environment,Flowers,Fruits,Lat,Long,NofTrees,TreeSpecies,Country
CT0000,EpicRare,Day/Night/Rain/Snow,N/A,N/A,59.3,-130.8,One,Delta,Canada
CT0001,EpicRare,Day/Night/Rain/Snow,N/A,N/A,40.5,-84.8,One,Delta,United States of America
CT0002,EpicRare,Day/Night/Rain,N/A,N/A,12.4,-15.1,One,Delta,Guinea-Bissau
CT0003,EpicRare,Day/Night/Rain/Snow,N/A,N/A,75,108.6,One,Delta,Russia
CT0004,EpicRare,Day/Night/Rain/Snow,N/A,N/A,40.5,-119.7,One,Delta,United States of America
CT0005,EpicRare,Day/Night/Rain,N/A,N/A,15.3,107,One,Delta,Laos
CT0006,EpicRare,Day/Night/Rain/Snow,N/A,N/A,56.8,69,One,Delta,Russia
CT0007,EpicRare,Day/Night/Rain/Snow,N/A,N/A,71.1,103.9,One,Delta,Russia
CT0008,EpicRare,Day/Night/Rain,N/A,N/A,33.2,43.6,One,Delta,Iraq
CT0009,EpicRare,Day/Night/Rain,N/A,N/A,0.3,121.3,One,Delta,Indonesia
CT0010,EpicRare,Day/Night/Rain,N/A,N/A,3.3,35.7,One,Delta,Kenya
CT0011,EpicRare,Day/Night/Rain,N/A,N/A,-25.7,137.2,One,Delta,Australia
CT0012,EpicRare,Day/Night/Rain/Snow,N/A,N/A,55.9,100.7,One,Delta,Russia
CT0013,EpicRare,Day/Night/Rain/Snow,N/A,N/A,63.1,-161,One,Delta,United States of America
CT0014,EpicRare,Day/Night/Rain/Snow,N/A,N/A,71.1,95.9,One,Delta,Russia
CT0015,EpicRare,Day/Night/Rain/Snow,N/A,N/A,59.3,146.7,One,Delta,Russia
CT0016,EpicRare,Day/Night/Rain/Snow,N/A,N/A,35.7,129.3,One,Delta,South Korea
CT0017,EpicRare,Day/Night/Rain,N/A,N/A,-5.9,19.8,One,Delta,"Congo, Democratic Republic of the"
CT0018,EpicRare,Day/Night/Rain/Snow,N/A,N/A,59.3,83.3,One,Delta,Russia
CT0019,EpicRare,Day/Night/Rain,N/A,N/A,31.9,-86.4,One,Delta,United States of America
CT0020,EpicRare,Day/Night/Rain/Snow,N/A,N/A,72.6,-122.9,One,Delta,Canada
